Serial Number,Other,Name,Classification,Speed/Capacity,Path,Make,Model
MAC: ac:1f:6b:2d:04:04,ip: 10.0.1.111,eth0,"Hardware, NIC",1000,Gbt --> bls4, , 
MAC: ac:1f:6b:2d:04:05, ,eth1,"Hardware, NIC",NA,Gbt --> bls4, , 
MAC: ac:1f:6b:2d:04:06, ,eth2,"Hardware, NIC",NA,Gbt --> bls4, , 
MAC: ac:1f:6b:2d:04:07, ,eth3,"Hardware, NIC",NA,Gbt --> bls4, , 
MAC: 02:02:0a:11:02:6c,ip: 10.17.2.108,eth4,"Hardware, NIC",10000,Gbt --> bls4, , 
MAC: ec:0d:9a:22:9e:61, ,eth5,"Hardware, NIC",NA,Gbt --> bls4, , 
 ,ip: 127.0.0.1,lo,"Hardware, NIC",NA,Gbt --> bls4, , 
Unknown,Socket: 0,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,"Hardware, CPU",Clock: 3000.0000,Gbt --> bls4,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz
Unknown,Socket: 1,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,"Hardware, CPU",Clock: 3000.0000,Gbt --> bls4,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz
 , ,Memory,"Hardware, Memory",65858348 kB,Gbt --> bls4, , 
 ,Bios version: 2.0b,bls4,"System, STORAGE", ,Gbt --> bls4,American Megatrends Inc., 
HDWE160, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls4,27R3KAU4F56DTOSHIBA HDWE160                         FS2A, 
HDWE160, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls4,27RAKAS5F56DTOSHIBA HDWE160                         FS2A, 
HDWE160, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls4,27RAKAS4F56DTOSHIBA HDWE160                         FS2A, 
HDWE160, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls4,27RHK81VF56DTOSHIBA HDWE160                         FS2A, 
HDWE160, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls4,27R3KAU0F56DTOSHIBA HDWE160                         FS2A, 
HDWE160, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls4,27RFK40PF56DTOSHIBA HDWE160                         FS2A, 
HDWE160, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls4,27R9K93ZF56DTOSHIBA HDWE160                         FS2A, 
HDWE160, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls4,27RHK81RF56DTOSHIBA HDWE160                         FS2A, 
HDWE160, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls4,27R1KFUFF56DTOSHIBA HDWE160                         FS2A, 
HDWE160, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls4,27R3KAUBF56DTOSHIBA HDWE160                         FS2A, 
HDWE160, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls4,27RHK81NF56DTOSHIBA HDWE160                         FS2A, 
HDWE160, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls4,27R8K5NFF56DTOSHIBA HDWE160                         FS2A, 
HDWE160, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls4,27R3KASMF56DTOSHIBA HDWE160                         FS2A, 
HDWE160, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls4,27R3KATPF56DTOSHIBA HDWE160                         FS2A, 
HDWE160, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls4,27R3KATZF56DTOSHIBA HDWE160                         FS2A, 
HDWE160, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls4,27RAKAS1F56DTOSHIBA HDWE160                         FS2A, 
HDWE160, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls4,27R3KAU5F56DTOSHIBA HDWE160                         FS2A, 
HDWE160, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls4,27R3KAUAF56DTOSHIBA HDWE160                         FS2A, 
HDWE160, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls4,27RDK3FFF56DTOSHIBA HDWE160                         FS2A, 
HDWE160, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls4,27RDK3FHF56DTOSHIBA HDWE160                         FS2A, 
HDWE160, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls4,27RDK3FIF56DTOSHIBA HDWE160                         FS2A, 
HDWE160, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls4,27R3KAU7F56DTOSHIBA HDWE160                         FS2A, 
