socket,clock,cores,model,threads per core,Path,architecture
0,3000.0000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,Parkes --> blc32,x86_64
1,3000.0000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,Parkes --> blc32,x86_64
