Dns_Server,Name,Ip,Mac,Stroke,Path,Type,Speed
blc37.bl.pvt,eth0,10.0.1.110,0c:c4:7a:88:55:44,10,Gbt --> blc37,nic,1000
 ,eth1, ,0c:c4:7a:88:55:45,1,Gbt --> blc37,nic,NA
 ,eth2, ,0c:c4:7a:88:55:46,1,Gbt --> blc37,nic,NA
 ,eth3, ,0c:c4:7a:88:55:47,1,Gbt --> blc37,nic,NA
blc37-10-0.gb.nrao.edu,eth4,10.17.2.47,02:02:0a:11:02:2f,100,Gbt --> blc37,nic,10000
blc37-10-1.gb.nrao.edu,eth5,10.17.2.175,02:02:0a:11:02:af,-1,Gbt --> blc37,nic,-1
localhost.bl.pvt,lo,127.0.0.1, ,1,Gbt --> blc37,nic,NA
