Socket,Clock,Architecture,Path,Cores,Model,Threads Per Core
0,3200.0000,x86_64,Gbt --> blc03,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1
1,3200.0000,x86_64,Gbt --> blc03,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1
