Name,Firmware,Path,Serial,Diskid,Size
Disk: 9,A3MA,Digilab --> blc02,JK11A4B8JR267WHitachi HDS722020ALA330 JKAOA3MA,9,1.819 TB [0xe8e088b0 Sectors]
Disk: 14,A3MA,Digilab --> blc02,JK11A4B8J8NSTWHitachi HDS722020ALA330 JKAOA3MA,14,1.819 TB [0xe8e088b0 Sectors]
Disk: 16,A3MA,Digilab --> blc02,JK11A5B8J0RSAXHitachi HDS722020ALA330 JKAOA3MA,16,1.819 TB [0xe8e088b0 Sectors]
Disk: 15,A3MA,Digilab --> blc02,JK11A5B8J0083XHitachi HDS722020ALA330 JKAOA3MA,15,1.819 TB [0xe8e088b0 Sectors]
Disk: 17,A3MA,Digilab --> blc02,JK11A4B8JR3TJWHitachi HDS722020ALA330 JKAOA3MA,17,1.819 TB [0xe8e088b0 Sectors]
Disk: 18,A3MA,Digilab --> blc02,JK11A5B8J37ESXHitachi HDS722020ALA330 JKAOA3MA,18,1.819 TB [0xe8e088b0 Sectors]
Disk: 19,A3MA,Digilab --> blc02,ATA Hitachi HDS72202A3MA JK11A5B8J37BLX,19,1.819 TB [0xe8e088b0 Sectors]
Disk: 23,0001,Digilab --> blc02,S2H7JD2B403709 SAMSUNG HD204UI 1AQ10001,23,1.819 TB [0xe8e088b0 Sectors]
Disk: 24,A3MA,Digilab --> blc02,JK11A5B8J0RKSXHitachi HDS722020ALA330 JKAOA3MA,24,1.819 TB [0xe8e088b0 Sectors]
Disk: , ,Digilab --> blc02, , , 
Disk: 21,0001,Digilab --> blc02,S2H7JD2B403627 SAMSUNG HD204UI 1AQ10001,21,1.819 TB [0xe8e088b0 Sectors]
Disk: 46,FS2A,Digilab --> bls0,X5O1K4OMF56DTOSHIBA HDWE160 FS2A,46,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 38,FS2A,Digilab --> bls0,Y5ADK1ECF56DTOSHIBA HDWE160 FS2A,38,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 43,FS2A,Digilab --> bls0,Y5ADK1DZF56DTOSHIBA HDWE160 FS2A,43,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 41,FS2A,Digilab --> bls0,Y5ADK1DWF56DTOSHIBA HDWE160 FS2A,41,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 45,FS2A,Digilab --> bls0,Y586K2MSF56DTOSHIBA HDWE160 FS2A,45,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 39,FS2A,Digilab --> bls0,Y56FK0M9F56DTOSHIBA HDWE160 FS2A,39,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 40,FS2A,Digilab --> bls0,855AK0OYF56DTOSHIBA HDWE160 FS2A,40,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 47,FS2A,Digilab --> bls0,Y583K2C3F56DTOSHIBA HDWE160 FS2A,47,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 44,FS2A,Digilab --> bls0,759AK0EXF56DTOSHIBA HDWE160 FS2A,44,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 48,FS2A,Digilab --> bls0,Y56EK15CF56DTOSHIBA HDWE160 FS2A,48,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 42,FS2A,Digilab --> bls0,Y58EK16YF56DTOSHIBA HDWE160 FS2A,42,5.458 TB [0x2baa0f4b0 Sectors]
Disk: , ,Digilab --> bls0, , , 
Disk: 65,FP2A,Digilab --> bls0,9556KL8NFSAATOSHIBA MD04ACA400 FP2A,65,3.638 TB [0x1d1c0beb0 Sectors]
Disk: 52,FP2A,Digilab --> bls0,9556KL8OFSAATOSHIBA MD04ACA400 FP2A,52,3.638 TB [0x1d1c0beb0 Sectors]
Disk: 51,FP2A,Digilab --> bls0,9557KETRFSAATOSHIBA MD04ACA400 FP2A,51,3.638 TB [0x1d1c0beb0 Sectors]
Disk: 63,FP2A,Digilab --> bls0,9548K9TGFSAATOSHIBA MD04ACA400 FP2A,63,3.638 TB [0x1d1c0beb0 Sectors]
Disk: 62,FP2A,Digilab --> bls0,9556KL8KFSAATOSHIBA MD04ACA400 FP2A,62,3.638 TB [0x1d1c0beb0 Sectors]
Disk: 67,FP2A,Digilab --> bls0,9547KEPZFSBATOSHIBA MD04ACA400 FP2A,67,3.638 TB [0x1d1c0beb0 Sectors]
Disk: 66,FP2A,Digilab --> bls0,9547KEPYFSBATOSHIBA MD04ACA400 FP2A,66,3.638 TB [0x1d1c0beb0 Sectors]
Disk: 70,FP2A,Digilab --> bls0,85O8K916FSAATOSHIBA MD04ACA400 FP2A,70,3.638 TB [0x1d1c0beb0 Sectors]
Disk: 56,FP2A,Digilab --> bls0,9563KNFOFSAATOSHIBA MD04ACA400 FP2A,56,3.638 TB [0x1d1c0beb0 Sectors]
Disk: 55,FP2A,Digilab --> bls0,85SAKA70FSAATOSHIBA MD04ACA400 FP2A,55,3.638 TB [0x1d1c0beb0 Sectors]
Disk: 68,FP2A,Digilab --> bls0,9534KFAFFSAATOSHIBA MD04ACA400 FP2A,68,3.638 TB [0x1d1c0beb0 Sectors]
Disk: 58,FP2A,Digilab --> bls0,9565K7BVFSAATOSHIBA MD04ACA400 FP2A,58,3.638 TB [0x1d1c0beb0 Sectors]
Disk: 59,FS2A,Digilab --> bls0,Y5AEK1A5F56DTOSHIBA HDWE160 FS2A,59,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 72,FS2A,Digilab --> bls0,Y58DK1B9F56DTOSHIBA HDWE160 FS2A,72,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 57,FS2A,Digilab --> bls0,758DK07GF56DTOSHIBA HDWE160 FS2A,57,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 53,FS2A,Digilab --> bls0,758DK07MF56DTOSHIBA HDWE160 FS2A,53,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 74,FS2A,Digilab --> bls0,759AK0G4F56DTOSHIBA HDWE160 FS2A,74,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 61,FS2A,Digilab --> bls0,85N9K134F56DTOSHIBA HDWE160 FS2A,61,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 54,FS2A,Digilab --> bls0,85J9K10SF56DTOSHIBA HDWE160 FS2A,54,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 71,FS2A,Digilab --> bls0,75B6K16VF56DTOSHIBA HDWE160 FS2A,71,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 60,FS2A,Digilab --> bls0,85JAK13BF56DTOSHIBA HDWE160 FS2A,60,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 64,FS2A,Digilab --> bls0,85JBK0ILF56DTOSHIBA HDWE160 FS2A,64,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 73,FS2A,Digilab --> bls0,85JAK13GF56DTOSHIBA HDWE160 FS2A,73,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 69,FS2A,Digilab --> bls0,75B6K16XF56DTOSHIBA HDWE160 FS2A,69,5.458 TB [0x2baa0f4b0 Sectors]
