Name,Firmware,Stroke,Path,Serial,Type,Diskid,Size
Disk: 10,FP2A,1,Gbt --> blc07,85A9K4ZIF57DTOSHIBA HDWE150                         FP2A,disk,10,4.547 TB [0x24630d9b0 Sectors]
Disk: 23,FP2A,1,Gbt --> blc07,85J3KBW6F57DTOSHIBA HDWE150                         FP2A,disk,23,4.547 TB [0x24630d9b0 Sectors]
Disk: 12,FP2A,1,Gbt --> blc07,85J3KBW4F57DTOSHIBA HDWE150                         FP2A,disk,12,4.547 TB [0x24630d9b0 Sectors]
Disk: 26,FP2A,1,Gbt --> blc07,85L9K5FHF57DTOSHIBA HDWE150                         FP2A,disk,26,4.547 TB [0x24630d9b0 Sectors]
Disk: 13,FP2A,1,Gbt --> blc07,7595K2GBF57DTOSHIBA HDWE150                         FP2A,disk,13,4.547 TB [0x24630d9b0 Sectors]
Disk: 19,FP2A,1,Gbt --> blc07,85J2KD4SF57DTOSHIBA HDWE150                         FP2A,disk,19,4.547 TB [0x24630d9b0 Sectors]
Disk: 14,FP2A,1,Gbt --> blc07,85J3KBY4F57DTOSHIBA HDWE150                         FP2A,disk,14,4.547 TB [0x24630d9b0 Sectors]
Disk: 25,FP2A,1,Gbt --> blc07,85I3KBVLF57DTOSHIBA HDWE150                         FP2A,disk,25,4.547 TB [0x24630d9b0 Sectors]
Disk: 16,FP2A,1,Gbt --> blc07,85L9K5FEF57DTOSHIBA HDWE150                         FP2A,disk,16,4.547 TB [0x24630d9b0 Sectors]
Disk: 27,FP2A,1,Gbt --> blc07,85J2KD4BF57DTOSHIBA HDWE150                         FP2A,disk,27,4.547 TB [0x24630d9b0 Sectors]
Disk: 17,FP2A,1,Gbt --> blc07,85J1K5BGF57DTOSHIBA HDWE150                         FP2A,disk,17,4.547 TB [0x24630d9b0 Sectors]
Disk: 22,FP2A,1,Gbt --> blc07,85J2KD5WF57DTOSHIBA HDWE150                         FP2A,disk,22,4.547 TB [0x24630d9b0 Sectors]
Disk: 18,FP2A,1,Gbt --> blc07,85J1K5ATF57DTOSHIBA HDWE150                         FP2A,disk,18,4.547 TB [0x24630d9b0 Sectors]
Disk: 32,FP2A,1,Gbt --> blc07,85J6KB9EF57DTOSHIBA HDWE150                         FP2A,disk,32,4.547 TB [0x24630d9b0 Sectors]
Disk: 30,FP2A,1,Gbt --> blc07,85L3KC1ZF57DTOSHIBA HDWE150                         FP2A,disk,30,4.547 TB [0x24630d9b0 Sectors]
Disk: 15,FP2A,1,Gbt --> blc07,85MAK4QPF57DTOSHIBA HDWE150                         FP2A,disk,15,4.547 TB [0x24630d9b0 Sectors]
Disk: 21,FP2A,1,Gbt --> blc07,8593KBH1F57DTOSHIBA HDWE150                         FP2A,disk,21,4.547 TB [0x24630d9b0 Sectors]
Disk: 29,FP2A,1,Gbt --> blc07,85J1K5DJF57DTOSHIBA HDWE150                         FP2A,disk,29,4.547 TB [0x24630d9b0 Sectors]
Disk: 11,FP2A,1,Gbt --> blc07,85M5K361F57DTOSHIBA HDWE150                         FP2A,disk,11,4.547 TB [0x24630d9b0 Sectors]
Disk: 24,FP2A,1,Gbt --> blc07,85J3KBWYF57DTOSHIBA HDWE150                         FP2A,disk,24,4.547 TB [0x24630d9b0 Sectors]
Disk: 33,FP2A,1,Gbt --> blc07,85A1K4LBF57DTOSHIBA HDWE150                         FP2A,disk,33,4.547 TB [0x24630d9b0 Sectors]
Disk: 28,FP2A,1,Gbt --> blc07,85L3KC24F57DTOSHIBA HDWE150                         FP2A,disk,28,4.547 TB [0x24630d9b0 Sectors]
