Serial Number,Other,Name,Classification,Speed/Capacity,Path,Make,Model
MAC: 0c:c4:7a:8e:0c:e4,ip: 10.0.1.84,eth0,"Hardware, NIC",1000,Gbt --> blc12, , 
MAC: 0c:c4:7a:8e:0c:e5, ,eth1,"Hardware, NIC",NA,Gbt --> blc12, , 
MAC: 0c:c4:7a:8e:0c:e6, ,eth2,"Hardware, NIC",NA,Gbt --> blc12, , 
MAC: 0c:c4:7a:8e:0c:e7, ,eth3,"Hardware, NIC",NA,Gbt --> blc12, , 
MAC: 02:02:0a:11:02:1a,ip: 10.17.2.26,eth4,"Hardware, NIC",10000,Gbt --> blc12, , 
MAC: 02:02:0a:11:02:9a,ip: 10.17.2.154,eth5,"Hardware, NIC",-1,Gbt --> blc12, , 
 ,ip: 127.0.0.1,lo,"Hardware, NIC",NA,Gbt --> blc12, , 
[Not Supported], ,GeForce GTX 1080,"Hardware, GPU",Memory: 8114,Gbt --> blc12,Nvidia,GeForce GTX 1080
Unknown,Socket: 0,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,"Hardware, CPU",Clock: 3200.0000,Gbt --> blc12,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz
Unknown,Socket: 1,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,"Hardware, CPU",Clock: 3200.0000,Gbt --> blc12,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz
 , ,Memory,"Hardware, Memory",65861268 kB,Gbt --> blc12, , 
 ,Bios version: 2.0,blc12,"System, COMPUTE", ,Gbt --> blc12,American Megatrends Inc., 
HDWE150, ,Samsung,"Hardware, Disk",4.547 TB [0x24630d9b0 Sectors],Gbt --> blc12,Z5I5K4IYF57DTOSHIBA HDWE150                         FP2A, 
HDWE150, ,Samsung,"Hardware, Disk",4.547 TB [0x24630d9b0 Sectors],Gbt --> blc12,Z5I6KDIJF57DTOSHIBA HDWE150                         FP2A, 
HDWE150, ,Samsung,"Hardware, Disk",4.547 TB [0x24630d9b0 Sectors],Gbt --> blc12,Z5IDKBLVF57DTOSHIBA HDWE150                         FP2A, 
HDWE150, ,Samsung,"Hardware, Disk",4.547 TB [0x24630d9b0 Sectors],Gbt --> blc12,Z5I1K9G5F57DTOSHIBA HDWE150                         FP2A, 
HDWE150, ,Samsung,"Hardware, Disk",4.547 TB [0x24630d9b0 Sectors],Gbt --> blc12,Z5H1K98PF57DTOSHIBA HDWE150                         FP2A, 
HDWE150, ,Samsung,"Hardware, Disk",4.547 TB [0x24630d9b0 Sectors],Gbt --> blc12,Z5H1K98OF57DTOSHIBA HDWE150                         FP2A, 
HDWE150, ,Samsung,"Hardware, Disk",4.547 TB [0x24630d9b0 Sectors],Gbt --> blc12,Z5H1K98LF57DTOSHIBA HDWE150                         FP2A, 
HDWE150, ,Samsung,"Hardware, Disk",4.547 TB [0x24630d9b0 Sectors],Gbt --> blc12,Z5I1K9GIF57DTOSHIBA HDWE150                         FP2A, 
HDWE150, ,Samsung,"Hardware, Disk",4.547 TB [0x24630d9b0 Sectors],Gbt --> blc12,Z5I5K4J0F57DTOSHIBA HDWE150                         FP2A, 
HDWE150, ,Samsung,"Hardware, Disk",4.547 TB [0x24630d9b0 Sectors],Gbt --> blc12,Z5I1K9G9F57DTOSHIBA HDWE150                         FP2A, 
HDWE150, ,Samsung,"Hardware, Disk",4.547 TB [0x24630d9b0 Sectors],Gbt --> blc12,Z5I6KDJMF57DTOSHIBA HDWE150                         FP2A, 
HDWE150, ,Samsung,"Hardware, Disk",4.547 TB [0x24630d9b0 Sectors],Gbt --> blc12,Z5I1K9GCF57DTOSHIBA HDWE150                         FP2A, 
HDWE150, ,Samsung,"Hardware, Disk",4.547 TB [0x24630d9b0 Sectors],Gbt --> blc12,Z5I6KDIYF57DTOSHIBA HDWE150                         FP2A, 
HDWE150, ,Samsung,"Hardware, Disk",4.547 TB [0x24630d9b0 Sectors],Gbt --> blc12,Z5IFK73SF57DTOSHIBA HDWE150                         FP2A, 
HDWE150, ,Samsung,"Hardware, Disk",4.547 TB [0x24630d9b0 Sectors],Gbt --> blc12,Z5SBK3K8F57DTOSHIBA HDWE150                         FP2A, 
HDWE150, ,Samsung,"Hardware, Disk",4.547 TB [0x24630d9b0 Sectors],Gbt --> blc12,Z5I1K9G3F57DTOSHIBA HDWE150                         FP2A, 
HDWE150, ,Samsung,"Hardware, Disk",4.547 TB [0x24630d9b0 Sectors],Gbt --> blc12,Z5IDKBLWF57DTOSHIBA HDWE150                         FP2A, 
HDWE150, ,Samsung,"Hardware, Disk",4.547 TB [0x24630d9b0 Sectors],Gbt --> blc12,Z5I5K4J2F57DTOSHIBA HDWE150                         FP2A, 
HDWE150, ,Samsung,"Hardware, Disk",4.547 TB [0x24630d9b0 Sectors],Gbt --> blc12,Z5I1K9GFF57DTOSHIBA HDWE150                         FP2A, 
HDWE150, ,Samsung,"Hardware, Disk",4.547 TB [0x24630d9b0 Sectors],Gbt --> blc12,Z5I5K4J8F57DTOSHIBA HDWE150                         FP2A, 
HDWE150, ,Samsung,"Hardware, Disk",4.547 TB [0x24630d9b0 Sectors],Gbt --> blc12,Z5H1K98JF57DTOSHIBA HDWE150                         FP2A, 
HDWE150, ,Samsung,"Hardware, Disk",4.547 TB [0x24630d9b0 Sectors],Gbt --> blc12,Z5I1K9GEF57DTOSHIBA HDWE150                         FP2A, 
