Socket,Clock,Architecture,Path,Cores,Model,Threads Per Core
0,3000.0000,x86_64,Gbt --> blc33,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1
1,3000.0000,x86_64,Gbt --> blc33,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1
