Serial Number,Other,Name,Classification,Speed/Capacity,Path,Make,Model
MAC: 0c:c4:7a:bd:81:00,ip: 10.0.1.82,eth0,"Hardware, NIC",1000,Gbt --> bls0, , 
MAC: 0c:c4:7a:bd:81:01, ,eth1,"Hardware, NIC",NA,Gbt --> bls0, , 
MAC: 0c:c4:7a:bd:81:02, ,eth2,"Hardware, NIC",NA,Gbt --> bls0, , 
MAC: 0c:c4:7a:bd:81:03, ,eth3,"Hardware, NIC",NA,Gbt --> bls0, , 
MAC: 02:02:0a:11:02:68,ip: 10.17.2.104,eth4,"Hardware, NIC",10000,Gbt --> bls0, , 
MAC: 02:02:0a:11:02:84,ip: 10.17.2.132,eth5,"Hardware, NIC",-1,Gbt --> bls0, , 
 ,ip: 127.0.0.1,lo,"Hardware, NIC",NA,Gbt --> bls0, , 
Unknown,Socket: 0,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,"Hardware, CPU",Clock: 3200.0000,Gbt --> bls0,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz
Unknown,Socket: 1,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,"Hardware, CPU",Clock: 3200.0000,Gbt --> bls0,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz
 , ,Memory,"Hardware, Memory",65865880 kB,Gbt --> bls0, , 
 ,Bios version: 1.0b,bls0,"System, STORAGE", ,Gbt --> bls0,American Megatrends Inc., 
MD04ACA400, ,Samsung,"Hardware, Disk",3.638 TB [0x1d1c0beb0 Sectors],Gbt --> bls0,85OAK9VIFSAATOSHIBA MD04ACA400                      FP2A, 
MD04ACA400, ,Samsung,"Hardware, Disk",3.638 TB [0x1d1c0beb0 Sectors],Gbt --> bls0,85O9KB4JFSAATOSHIBA MD04ACA400                      FP2A, 
MD04ACA400, ,Samsung,"Hardware, Disk",3.638 TB [0x1d1c0beb0 Sectors],Gbt --> bls0,9563KNF6FSAATOSHIBA MD04ACA400                      FP2A, 
MD04ACA400, ,Samsung,"Hardware, Disk",3.638 TB [0x1d1c0beb0 Sectors],Gbt --> bls0,954BK50CFSBATOSHIBA MD04ACA400                      FP2A, 
MD04ACA400, ,Samsung,"Hardware, Disk",3.638 TB [0x1d1c0beb0 Sectors],Gbt --> bls0,85O9KB4GFSAATOSHIBA MD04ACA400                      FP2A, 
MD04ACA400, ,Samsung,"Hardware, Disk",3.638 TB [0x1d1c0beb0 Sectors],Gbt --> bls0,954BK50BFSBATOSHIBA MD04ACA400                      FP2A, 
MD04ACA400, ,Samsung,"Hardware, Disk",3.638 TB [0x1d1c0beb0 Sectors],Gbt --> bls0,85V7KEC9FSAATOSHIBA MD04ACA400                      FP2A, 
MD04ACA400, ,Samsung,"Hardware, Disk",3.638 TB [0x1d1c0beb0 Sectors],Gbt --> bls0,85V7KECAFSAATOSHIBA MD04ACA400                      FP2A, 
MD04ACA400, ,Samsung,"Hardware, Disk",3.638 TB [0x1d1c0beb0 Sectors],Gbt --> bls0,9562KQ6EFSAATOSHIBA MD04ACA400                      FP2A, 
HDWE150, ,Samsung,"Hardware, Disk",4.547 TB [0x24630d9b0 Sectors],Gbt --> bls0,85L3KC1OF57DTOSHIBA HDWE150                         FP2A, 
