socket,clock,cores,model,threads per core,Path,architecture
0,3200.0000,12,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,Gbt --> bls0,x86_64
1,3200.0000,12,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,Gbt --> bls0,x86_64
