socket,clock,cores,model,threads per core,Path,architecture
0,3200.0000,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,Gbt --> blc14,x86_64
1,3200.0000,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,Gbt --> blc14,x86_64
