Dns_Server,Name,Ip,Mac,Stroke,Path,Type,Speed
blc30.bl.pvt,eth0,10.0.1.103,0c:c4:7a:8f:f7:5c,10,Gbt --> blc30,nic,1000
 ,eth1, ,0c:c4:7a:8f:f7:5d,1,Gbt --> blc30,nic,NA
 ,eth2, ,0c:c4:7a:8f:f7:5e,1,Gbt --> blc30,nic,NA
 ,eth3, ,0c:c4:7a:8f:f7:5f,1,Gbt --> blc30,nic,NA
blc30-10-0.gb.nrao.edu,eth4,10.17.2.40,02:02:0a:11:02:28,100,Gbt --> blc30,nic,10000
blc30-10-1.gb.nrao.edu,eth5,10.17.2.168,02:02:0a:11:02:a8,-1,Gbt --> blc30,nic,-1
localhost.bl.pvt,lo,127.0.0.1, ,1,Gbt --> blc30,nic,NA
