Serial Number,Other,Name,Classification,Speed/Capacity,Path,Make,Model
MAC: 0c:c4:7a:8e:75:24,ip: 10.0.1.92,eth0,"Hardware, NIC",1000,Gbt --> bls1, , 
MAC: 0c:c4:7a:8e:75:25, ,eth1,"Hardware, NIC",NA,Gbt --> bls1, , 
MAC: 0c:c4:7a:8e:75:26, ,eth2,"Hardware, NIC",NA,Gbt --> bls1, , 
MAC: 0c:c4:7a:8e:75:27, ,eth3,"Hardware, NIC",NA,Gbt --> bls1, , 
MAC: 02:02:0a:11:02:69,ip: 10.17.2.105,eth4,"Hardware, NIC",10000,Gbt --> bls1, , 
MAC: 02:02:0a:11:02:85,ip: 10.17.2.133,eth5,"Hardware, NIC",10000,Gbt --> bls1, , 
 ,ip: 127.0.0.1,lo,"Hardware, NIC",NA,Gbt --> bls1, , 
Unknown,Socket: 0,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,"Hardware, CPU",Clock: 3000.0000,Gbt --> bls1,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz
Unknown,Socket: 1,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,"Hardware, CPU",Clock: 3000.0000,Gbt --> bls1,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz
 , ,Memory,"Hardware, Memory",65858532 kB,Gbt --> bls1, , 
 ,Bios version: 2.0,bls1,"System, STORAGE", ,Gbt --> bls1,American Megatrends Inc., 
MD04ACA600, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls1,46A8K1LMFFQCTOSHIBA MD04ACA600                      FS2A, 
MD04ACA600, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls1,46A9K4XBFFQCTOSHIBA MD04ACA600                      FS2A, 
MD04ACA600, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls1,46A5K2WRFFQCTOSHIBA MD04ACA600                      FS2A, 
MD04ACA600, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls1,46A5K2X5FFQCTOSHIBA MD04ACA600                      FS2A, 
MD04ACA600, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls1,46A7K7RMFFQCTOSHIBA MD04ACA600                      FS2A, 
MD04ACA600, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls1,46A7K7RKFFQCTOSHIBA MD04ACA600                      FS2A, 
MD04ACA600, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls1,46A3K5SRFFQCTOSHIBA MD04ACA600                      FS2A, 
MD04ACA600, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls1,46A3K5TSFFQCTOSHIBA MD04ACA600                      FS2A, 
MD04ACA600, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls1,46A9K4XAFFQCTOSHIBA MD04ACA600                      FS2A, 
MD04ACA600, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls1,46A5K2WTFFQCTOSHIBA MD04ACA600                      FS2A, 
MD04ACA600, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls1,46A8K1L2FFQCTOSHIBA MD04ACA600                      FS2A, 
MD04ACA600, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls1,46A3K5SNFFQCTOSHIBA MD04ACA600                      FS2A, 
MD04ACA600, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls1,46A3K5SOFFQCTOSHIBA MD04ACA600                      FS2A, 
MD04ACA600, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls1,46ABK3BOFFQCTOSHIBA MD04ACA600                      FS2A, 
