Name,Firmware,Stroke,Path,Serial,Type,Diskid,Size
Disk: 38,FS2A,1,Gbt --> bls3,46BCK1KIFFQCTOSHIBA MD04ACA600                      FS2A,disk,38,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 51,FS2A,1,Gbt --> bls3,46BBK3E2FFQCTOSHIBA MD04ACA600                      FS2A,disk,51,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 39,FS2A,1,Gbt --> bls3,46BCK1KHFFQCTOSHIBA MD04ACA600                      FS2A,disk,39,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 46,FS2A,1,Gbt --> bls3,46BBK3E3FFQCTOSHIBA MD04ACA600                      FS2A,disk,46,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 41,FS2A,1,Gbt --> bls3,46B3K5V6FFQCTOSHIBA MD04ACA600                      FS2A,disk,41,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 52,FS2A,1,Gbt --> bls3,46BBK3E1FFQCTOSHIBA MD04ACA600                      FS2A,disk,52,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 44,FS2A,1,Gbt --> bls3,46BBK3DYFFQCTOSHIBA MD04ACA600                      FS2A,disk,44,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 42,FS2A,1,Gbt --> bls3,46B7K7VSFFQCTOSHIBA MD04ACA600                      FS2A,disk,42,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 45,FS2A,1,Gbt --> bls3,46B3K5V3FFQCTOSHIBA MD04ACA600                      FS2A,disk,45,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 50,FS2A,1,Gbt --> bls3,46BBK3E0FFQCTOSHIBA MD04ACA600                      FS2A,disk,50,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 48,FS2A,1,Gbt --> bls3,46BCK1KGFFQCTOSHIBA MD04ACA600                      FS2A,disk,48,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 43,FS2A,1,Gbt --> bls3,46BBK3EFFFQCTOSHIBA MD04ACA600                      FS2A,disk,43,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 56,FS2A,1,Gbt --> bls3,46BCK1KFFFQCTOSHIBA MD04ACA600                      FS2A,disk,56,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 49,FS2A,1,Gbt --> bls3,46B3K5VAFFQCTOSHIBA MD04ACA600                      FS2A,disk,49,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 47,FS2A,1,Gbt --> bls3,46BBK3E4FFQCTOSHIBA MD04ACA600                      FS2A,disk,47,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 54,FS2A,1,Gbt --> bls3,46BBK3EIFFQCTOSHIBA MD04ACA600                      FS2A,disk,54,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 55,FS2A,1,Gbt --> bls3,46BBK3E9FFQCTOSHIBA MD04ACA600                      FS2A,disk,55,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 57,FS2A,1,Gbt --> bls3,46BBK3DZFFQCTOSHIBA MD04ACA600                      FS2A,disk,57,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 60,FS2A,1,Gbt --> bls3,46BBK3EAFFQCTOSHIBA MD04ACA600                      FS2A,disk,60,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 53,FS2A,1,Gbt --> bls3,46A3K5STFFQCTOSHIBA MD04ACA600                      FS2A,disk,53,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 61,FS2A,1,Gbt --> bls3,46A4K4R4FFQCTOSHIBA MD04ACA600                      FS2A,disk,61,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 58,FS2A,1,Gbt --> bls3,46A9K4XDFFQCTOSHIBA MD04ACA600                      FS2A,disk,58,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 26,FS2A,1,Gbt --> bls3,46A8K1LDFFQCTOSHIBA MD04ACA600                      FS2A,disk,26,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 37,FS2A,1,Gbt --> bls3,46A9K4X8FFQCTOSHIBA MD04ACA600                      FS2A,disk,37,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 28,FS2A,1,Gbt --> bls3,46AAK65AFFQCTOSHIBA MD04ACA600                      FS2A,disk,28,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 31,FS2A,1,Gbt --> bls3,46A8K1LFFFQCTOSHIBA MD04ACA600                      FS2A,disk,31,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 29,FS2A,1,Gbt --> bls3,46AAK656FFQCTOSHIBA MD04ACA600                      FS2A,disk,29,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 36,FS2A,1,Gbt --> bls3,46AAK659FFQCTOSHIBA MD04ACA600                      FS2A,disk,36,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 30,FS2A,1,Gbt --> bls3,46ACK1HUFFQCTOSHIBA MD04ACA600                      FS2A,disk,30,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 34,FS2A,1,Gbt --> bls3,46AAK65BFFQCTOSHIBA MD04ACA600                      FS2A,disk,34,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 27,FS2A,1,Gbt --> bls3,46A8K1LAFFQCTOSHIBA MD04ACA600                      FS2A,disk,27,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 35,FS2A,1,Gbt --> bls3,46A9K4X4FFQCTOSHIBA MD04ACA600                      FS2A,disk,35,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 32,FS2A,1,Gbt --> bls3,46A8K1L3FFQCTOSHIBA MD04ACA600                      FS2A,disk,32,5.458 TB [0x2baa0f4b0 Sectors]
