Name,Firmware,Stroke,Path,Serial,Type,Diskid,Size
Disk: 2,FP2A,1,Gbt --> blc30,86V8K0TEF57DTOSHIBA HDWE150                         FP2A,disk,2,4.547 TB [0x24630d9b0 Sectors]
Disk: 8,FP2A,1,Gbt --> blc30,86P8K0SHF57DTOSHIBA HDWE150                         FP2A,disk,8,4.547 TB [0x24630d9b0 Sectors]
Disk: 3,FP2A,1,Gbt --> blc30,9611KCMWF57DTOSHIBA HDWE150                         FP2A,disk,3,4.547 TB [0x24630d9b0 Sectors]
Disk: 13,FP2A,1,Gbt --> blc30,86UHKBWQF57DTOSHIBA HDWE150                         FP2A,disk,13,4.547 TB [0x24630d9b0 Sectors]
Disk: 4,FP2A,1,Gbt --> blc30,86UHKBWNF57DTOSHIBA HDWE150                         FP2A,disk,4,4.547 TB [0x24630d9b0 Sectors]
Disk: 12,FP2A,1,Gbt --> blc30,86UHKBWOF57DTOSHIBA HDWE150                         FP2A,disk,12,4.547 TB [0x24630d9b0 Sectors]
Disk: 5,FP2A,1,Gbt --> blc30,963EKEAZF57DTOSHIBA HDWE150                         FP2A,disk,5,4.547 TB [0x24630d9b0 Sectors]
Disk: 16,FP2A,1,Gbt --> blc30,96F1KCPGF57DTOSHIBA HDWE150                         FP2A,disk,16,4.547 TB [0x24630d9b0 Sectors]
Disk: 7,FP2A,1,Gbt --> blc30,86V9K932F57DTOSHIBA HDWE150                         FP2A,disk,7,4.547 TB [0x24630d9b0 Sectors]
Disk: 19,FP2A,1,Gbt --> blc30,86T1KCLVF57DTOSHIBA HDWE150                         FP2A,disk,19,4.547 TB [0x24630d9b0 Sectors]
Disk: 9,FP2A,1,Gbt --> blc30,9611KCMSF57DTOSHIBA HDWE150                         FP2A,disk,9,4.547 TB [0x24630d9b0 Sectors]
Disk: 10,FP2A,1,Gbt --> blc30,86T1KCLFF57DTOSHIBA HDWE150                         FP2A,disk,10,4.547 TB [0x24630d9b0 Sectors]
Disk: 14,FP2A,1,Gbt --> blc30,86PEKE7YF57DTOSHIBA HDWE150                         FP2A,disk,14,4.547 TB [0x24630d9b0 Sectors]
Disk: 11,FP2A,1,Gbt --> blc30,96DAK9JSF57DTOSHIBA HDWE150                         FP2A,disk,11,4.547 TB [0x24630d9b0 Sectors]
Disk: 15,FP2A,1,Gbt --> blc30,86UHKBWZF57DTOSHIBA HDWE150                         FP2A,disk,15,4.547 TB [0x24630d9b0 Sectors]
Disk: 6,FP2A,1,Gbt --> blc30,96D1KCOBF57DTOSHIBA HDWE150                         FP2A,disk,6,4.547 TB [0x24630d9b0 Sectors]
Disk: 20,FP2A,1,Gbt --> blc30,86SFK89EF57DTOSHIBA HDWE150                         FP2A,disk,20,4.547 TB [0x24630d9b0 Sectors]
Disk: 22,FP2A,1,Gbt --> blc30,9611KCMXF57DTOSHIBA HDWE150                         FP2A,disk,22,4.547 TB [0x24630d9b0 Sectors]
Disk: 17,FP2A,1,Gbt --> blc30,86T5K5FSF57DTOSHIBA HDWE150                         FP2A,disk,17,4.547 TB [0x24630d9b0 Sectors]
Disk: 21,FP2A,1,Gbt --> blc30,86V8K0TGF57DTOSHIBA HDWE150                         FP2A,disk,21,4.547 TB [0x24630d9b0 Sectors]
Disk: 25,FP2A,1,Gbt --> blc30,86V9K92ZF57DTOSHIBA HDWE150                         FP2A,disk,25,4.547 TB [0x24630d9b0 Sectors]
Disk: 24,FP2A,1,Gbt --> blc30,96F4KACCF57DTOSHIBA HDWE150                         FP2A,disk,24,4.547 TB [0x24630d9b0 Sectors]
