Bios Version,Hostname,Vendor,Network,Path
1.1,blh0,American Megatrends Inc.,Parkes,Parkes --> blh0
2.0a,bls0,American Megatrends Inc.,Parkes,Parkes --> bls0
2.0a,bls1,American Megatrends Inc.,Parkes,Parkes --> bls1
2.0a,bls2,American Megatrends Inc.,Parkes,Parkes --> bls2
2.0,bls3,American Megatrends Inc.,Parkes,Parkes --> bls3
1.0b,blc00,American Megatrends Inc.,Digilab,Digilab --> blc00
2.0b,blc01,American Megatrends Inc.,Digilab,Digilab --> blc01
2.0b,blc02,American Megatrends Inc.,Digilab,Digilab --> blc02
2.0,blh0,American Megatrends Inc.,Digilab,Digilab --> blh0
1.0b,bls0,American Megatrends Inc.,Digilab,Digilab --> bls0
